D:\273\assignment1\udp>py udp_client.py
Connected to the server.
Starting a file (upload.txt) upload...
received ack(1) from the server
received ack(2) from the server
received ack(3) from the server
received ack(4) from the server
received ack(5) from the server
received ack(6) from the server
received ack(7) from the server
received ack(8) from the server
received ack(9) from the server
received ack(10) from the server
received ack(11) from the server
received ack(12) from the server
received ack(13) from the server
received ack(14) from the server
received ack(15) from the server
received ack(16) from the server
received ack(17) from the server
received ack(18) from the server
received ack(19) from the server
received ack(20) from the server
received ack(21) from the server
received ack(22) from the server
received ack(23) from the server
received ack(24) from the server
received ack(25) from the server
received ack(26) from the server
received ack(27) from the server
received ack(28) from the server
received ack(29) from the server
received ack(30) from the server
received ack(31) from the server
received ack(32) from the server
received ack(33) from the server
received ack(34) from the server
received ack(35) from the server
received ack(36) from the server
received ack(37) from the server
received ack(38) from the server
received ack(39) from the server
received ack(40) from the server
received ack(41) from the server
received ack(42) from the server
received ack(43) from the server
received ack(44) from the server
received ack(45) from the server
received ack(46) from the server
received ack(47) from the server
received ack(48) from the server
received ack(49) from the server
received ack(50) from the server
received ack(51) from the server
received ack(52) from the server
received ack(53) from the server
received ack(54) from the server
received ack(55) from the server
received ack(56) from the server
received ack(57) from the server
received ack(58) from the server
received ack(59) from the server
received ack(60) from the server
received ack(61) from the server
received ack(62) from the server
received ack(63) from the server
received ack(64) from the server
received ack(65) from the server
received ack(66) from the server
received ack(67) from the server
received ack(68) from the server
received ack(69) from the server
received ack(70) from the server
received ack(71) from the server
received ack(72) from the server
received ack(73) from the server
received ack(74) from the server
received ack(75) from the server
received ack(76) from the server
received ack(77) from the server
received ack(78) from the server
received ack(79) from the server
received ack(80) from the server
received ack(81) from the server
received ack(82) from the server
received ack(83) from the server
received ack(84) from the server
received ack(85) from the server
received ack(86) from the server
received ack(87) from the server
received ack(88) from the server
received ack(89) from the server
received ack(90) from the server
received ack(91) from the server
received ack(92) from the server
received ack(93) from the server
received ack(94) from the server
received ack(95) from the server
received ack(96) from the server
received ack(97) from the server
received ack(98) from the server
received ack(99) from the server
received ack(100) from the server
received ack(101) from the server
received ack(102) from the server
received ack(103) from the server
received ack(104) from the server
received ack(105) from the server
received ack(106) from the server
received ack(107) from the server
received ack(108) from the server
received ack(109) from the server
received ack(110) from the server
received ack(111) from the server
received ack(112) from the server
received ack(113) from the server
received ack(114) from the server
received ack(115) from the server
received ack(116) from the server
received ack(117) from the server
received ack(118) from the server
received ack(119) from the server
received ack(120) from the server
received ack(121) from the server
received ack(122) from the server
received ack(123) from the server
received ack(124) from the server
received ack(125) from the server
received ack(126) from the server
received ack(127) from the server
received ack(128) from the server
received ack(129) from the server
received ack(130) from the server
received ack(131) from the server
received ack(132) from the server
received ack(133) from the server
received ack(134) from the server
received ack(135) from the server
received ack(136) from the server
received ack(137) from the server
received ack(138) from the server
received ack(139) from the server
received ack(140) from the server
received ack(141) from the server
received ack(142) from the server
received ack(143) from the server
received ack(144) from the server
received ack(145) from the server
received ack(146) from the server
received ack(147) from the server
received ack(148) from the server
received ack(149) from the server
received ack(150) from the server
received ack(151) from the server
received ack(152) from the server
received ack(153) from the server
received ack(154) from the server
received ack(155) from the server
received ack(156) from the server
received ack(157) from the server
received ack(158) from the server
received ack(159) from the server
received ack(160) from the server
received ack(161) from the server
received ack(162) from the server
received ack(163) from the server
received ack(164) from the server
received ack(165) from the server
received ack(166) from the server
received ack(167) from the server
received ack(168) from the server
received ack(169) from the server
received ack(170) from the server
received ack(171) from the server
received ack(172) from the server
received ack(173) from the server
received ack(174) from the server
received ack(175) from the server
received ack(176) from the server
received ack(177) from the server
received ack(178) from the server
received ack(179) from the server
received ack(180) from the server
received ack(181) from the server
received ack(182) from the server
received ack(183) from the server
received ack(184) from the server
received ack(185) from the server
